"New Game!","62509"
"Inuyashiki","64465"
"Summer Time Rendering","110031"
"Goodnight Punpun","4632"
"GIGANT","110727"
"Land of the Lustrous","44489"
"Elizabeth of Velpera","148999"
"Father, I Don't Want This Marriage","146114"
"Demon Slayer: Kimetsu no Yaiba","96792"
"Pichi Pichi Pitch: Mermaid Melody","423"
"For Better or for Worse","147730"
"Four Dangerous Brothers to My Rescue!","161387"
"From Bite Marks to First Love","127472"
"From Today on My Idol Will Be My Master","146075"
"Fukigen na Doudou","148815"
"Hard to Say I Love You","135576"
"Futago Kareshi","79041"
"Thank You For The Meal, Virgin Cherry","121949"
"Gomen Shitatte Yurusanai","147721"
"It Was a Mistake, Grand Duke!","148561"
"Haga-kun wa Kamaretai","132394"
"It Starts from the Inside","92760"
"Hallelujah Baby","143089"
"Hamerare Host","97623"
"Happy Parasite","144414"
"His Extra-Large, Ever-So-Lovely...","116512"
"My First Love: Big Honey","134635"
"Heaven's Trap","147525"
"I'm an Incubus who's No Good at What He Does","137532"
"News Flash: I Just Like Dressing Like a Girl but He Wants More","146779"
"Hikikomori Hakoiri Reijou no Kekkon","146330"
"His Little Amber","139112"
"Hitorijime Boyfriend","43889"
"Hiyoko-chan to Harinezumi-kun","149208"
"Dream Guy Drinks a Love Potion and Goes Wild!","165632"
"A Private Life That Can't Be Broadcast","161791"
"How to Win My Husband Over","148234"
"How to Hide the Emperor's Child","149347"
"The Words In Your Snare","163117"
"Precious Daughter of the Greatest Martial Arts Villain","148870"
"Mimori's Naughty Mouth","138522"
"Monster Duke's Daughter","148611"
"Master Munetaka's Useless Maid","116067"
"My Bad Painkiller","151741"
"My In-Laws Are Obsessed With Me","147368"
"My Sadistic Secretary's Sweet Voice Always Makes Me Come","167136"
"My Suha","133932"
"Stray Dog's Night","139139"
"Starting a Family with My Silly Omega","132522"
"Everything's Coming Up Roses","149068"
"Ookami no Bonito","146635"
"Ookami wa Hana no Kaori","96895"
"The Man Who Shattered My World","148052"
"His Partner, the Thoroughbred Omega","138887"
"I'm a Dom and I Want You to Stroke My Head","146192"
"Sit. Good Job.","146193"
"Our Little Empress","149374"
"Playboy Beast","135418"
"Please Don't Eat Me!","147984"
"Gimme That Pacifier!","148917"
"Pop One's Cherry","150076"
"Princess in the Rough","147726"
"Rental Kareshi no Oshiri wo Goshimei","144174"
"Romance Debut!!","142786"
"Lady Chef Royale","148033"
"You Who Wants to Love","167005"
"The Villainess's Daughter","149278"
"Bee-Sting Babe and the Gorgeous Guy","116965"
"Cry For Me, Crown Prince","148562"
"Game World Reincarnation: Sex on the First Night","152348"
"The Tyrant's Soft Side","152242"
"Koisuru Ryuu no Shima","131429"
"Forced Into Heat by His Scent!","148232"
"Fanboy Troubles","147877"
"Kouguu no Omega","146579"
"Kozure Omega to Boukun Yakuza","146456"
"The Spider's Web","146679"
"Kuroe And The Garden Of Feminine Pleasures","143218"
"Lady Baby","147534"
"Little Lady Mint","149720"
"Little Rabbit and the Big Bad Leopard","147981"
"Love Potion for a Vampire Boy","137448"
"Megumi and Tsugumi","118085"
"Ginger and the Cursed Prince","147206"
"The Siren: Becoming the Villain's Family","148267"
"Shikabane to Hanayome","143167"
"Destined for Heat: Even an Elite Alpha Has His Limits!","152163"
"Twilight Poem","147873"
"Hit on By a Kinky Guy","130725"
"Preventing the Making of a Tyrant","152328"
"I'm Deleting Them From My Life","150817"
"Hell Is In The Eye Of The Beholder","144266"
"Kiss wa Tsugai ni Hizamazuku","131980"
"Devoted to Diamond","149307"
"My Father is a Tyrant","142963"
"The Crow's Prince","148432"
"Sonna Kao Shitemo Kiss wa Dame","143868"
"The Princess's Doll Shop","148746"
"The Story of the Hated Mule","170703"
"The Villainess Lives Again","147205"
"The Villainess Needs Her Tyrant","147933"
"Shun Won't Sleep With Me.","119876"
"Wicked No More","149954"
"The Do-Over Damsel Conquers the Dragon Emperor","130799"
"A Good Dog Gets Down on His Knees","161078"
"A Heart for the Emperor","147480"
"A Most Virtuous Villain","149422"
"A Near-Death Experience Is a Cry for Love","146614"
"A Sign of Affection","121504"
"I Am the Real One","146716"
"Amaenbo Honey","118716"
"Amagami wo Kimi ni","144286"
"Anemone Theater","148107"
"Baby Dragon","158603"
"Bad Romance Freak Show","144431"
"Becoming the Dark Hero's Daughter","149165"
"Bokura ga Tsugai ni Naru made","109827"
"Cage of Larkspur","143398"
"Caligula no Koi","145312"
"Call Me the Devil","150828"
"Can We Become Family?","149140"
"Caressing the Nipples of My Hibernating Bear","141156"
"Chou to Hana no Kankeisei","114192"
"Collar ni Kuchizuke","141659"
"Cosmetic Playlover","132953"
"Renia, the Crazy Princess","159198"
"The Dangerous Convenience Store","153714"
"Dark Fall","150393"
"Darling for Dessert","148867"
"Dear Sister, I've Become a Blessed Maiden","161531"
"Shitsukete Tokashite Abaite Medete","143887"
"Divorce Me, Mr. Alpha","153619"
"Drastic Omega","145921"
"The Tyrant's Translator","151873"
"I Belong to House Castielo","147704"
"The Rewards of Marriage","148239"
"I'm All Out of Health!","148705"
"I Want to Escape from Princess Lessons","132562"
"You've Got the Wrong Girl","151825"
"Not-Sew-Wicked Stepmom","149135"
"Into the Light, Once Again","148212"
"It Seems That Kiyoi Kugii Can See the Director's XXX","157984"
"Amakute Atsukute Iki mo Dekinai","146104"
"Itoshi no Kemukujara","146634"
"Always the Three of Us, Okay?","144326"
"Reborn as the Protagonists' Daughter","160340"
"The Divine Beast's Toy Garden","143571"
"The Love Song of the Cracker Ball","139109"
